|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0011000000111001|  0  |      0|   0   |    0|    0|      0 |
|1   |     0|0011000000111001|  0  |      0|   0   |    0|    1|      0 |
|1+  |     0|1110110000010000|  0  |      0|   0   |    0|    1|      0 |
|2   |     0|1110110000010000|  0  |      0|   0   |    0|    2|      0 |
|2+  |     0|0101101110100000|  0  |     -1|   0   |    0|    2|      0 |
|3   |     0|0101101110100000|  0  |     -1|   0   |    0|    3|      0 |
|3+  |     0|1110000111010000|  0  |      0|   0   |    0|    3|      0 |
|4   |     0|1110000111010000|  0  |      0|   0   |    0|    4|      0 |
|4+  |     0|0000001111101000|  0  |      0|   0   |    0|    4|      0 |
|5   |     0|0000001111101000|  0  |      0|   0   |    0|    5|      0 |
|5+  |     0|1110001100001000|  0  |      0|   1   |    0|    5|      0 |
|6   |     0|1110001100001000|  0  |      0|   1   |    0|    6|      0 |
|6+  |     0|0000001111101001|  0  |      0|   0   |    0|    6|      0 |
|7   |     0|0000001111101001|  0  |      0|   0   |    0|    7|      0 |
|7+  |     0|1110001110011000|  0  |     -1|   1   |    0|    7|     -1 |
|8   |     0|1110001110011000|  0  |     -2|   1   |32767|    8|     -1 |
|8+  |     0|0000001111101000|  0  |      1|   0   |32767|    8|     -1 |
|9   |     0|0000001111101000|  0  |      1|   0   |32767|    9|     -1 |
|9+  | 11111|1111010011010000|  0  | -11112|   0   |32767|    9| -11112 |
|10  | 11111|1111010011010000|  0  | -22223|   0   |21656|   10| -11112 |
|10+ | 11111|0000000000001110|  0  | -11112|   0   |21656|   10| -11112 |
|11  | 11111|0000000000001110|  0  | -11112|   0   |21656|   11| -11112 |
|11+ | 11111|1110001100000100|  0  | -11112|   0   |21656|   11| -11112 |
|12  | 11111|1110001100000100|  0  | -11112|   0   |21656|   12| -11112 |
|12+ | 11111|0000001111100111|  0  |  11112|   0   |21656|   12| -11112 |
|13  | 11111|0000001111100111|  0  |  11112|   0   |21656|   13| -11112 |
|13+ | 11111|1110110111100000|  0  | -11111|   0   |21656|   13| -11112 |
|14  | 11111|1110110111100000|  0  | -11110|   0   |21657|   14| -11112 |
|14+ | 11111|1110001100001000|  0  | -11112|   1   |21657|   14| -11112 |
|15  | 11111|1110001100001000|  0  | -11112|   1   |21656|   15| -11112 |
|15+ | 11111|0000000000010101|  0  | -11112|   0   |21656|   15| -11112 |
|16  | 11111|0000000000010101|  0  | -11112|   0   |21656|   16| -11112 |
|16+ | 11111|1110011111000010|  0  | -11111|   0   |21656|   16| -11112 |
|17  | 11111|1110011111000010|  0  | -11111|   0   |21657|   17| -11112 |
|17+ | 11111|0000000000000010|  0  | -11112|   0   |21657|   17| -11112 |
|18  | 11111|0000000000000010|  0  | -11112|   0   |21657|   18| -11112 |
|18+ | 11111|1110000010010000|  0  | -22223|   0   |21657|   18| -22223 |
|19  | 11111|1110000010010000|  0  |  21090|   0   |10545|   19| -22223 |
|19+ | 11111|0000001111101000|  0  |  22223|   0   |10545|   19| -22223 |
|20  | 11111|0000001111101000|  0  |  22223|   0   |10545|   20| -22223 |
|20+ | 11111|1110111010010000|  0  |     -1|   0   |10545|   20|     -1 |
|21  | 11111|1110111010010000|  0  |     -1|   0   |32767|   21|     -1 |
|21+ | 11111|1110001100000001|  0  |     -1|   0   |32767|   21|     -1 |
|22  | 11111|1110001100000001|  0  |     -1|   0   |32767|32767|     -1 |
|22+ | 11111|1110001100000010|  0  |     -1|   0   |32767|32767|     -1 |
|23  | 11111|1110001100000010|  0  |     -1|   0   |32767|    0|     -1 |
|23+ | 11111|1110001100000011|  0  |     -1|   0   |32767|    0|     -1 |
|24  | 11111|1110001100000011|  0  |     -1|   0   |32767|32767|     -1 |
|24+ | 11111|1110001100000100|  0  |     -1|   0   |32767|32767|     -1 |
|25  | 11111|1110001100000100|  0  |     -1|   0   |32767|    0|     -1 |
|25+ | 11111|1110001100000101|  0  |     -1|   0   |32767|    0|     -1 |
|26  | 11111|1110001100000101|  0  |     -1|   0   |32767|32767|     -1 |
